Date,Price,Open,High,Low,Vol.,Change %
06-06-2024,"1,559.70","1,564.90","1,565.45","1,546.60",23.21M,0.51%
05-06-2024,"1,551.80","1,494.05","1,559.60","1,482.35",40.82M,4.63%
04-06-2024,"1,483.15","1,557.00","1,559.00","1,454.00",44.77M,-5.66%
03-06-2024,"1,572.20","1,599.00","1,599.00","1,550.00",36.32M,2.65%
31-05-2024,"1,531.55","1,519.00","1,536.00","1,514.00",37.04M,1.10%
30-05-2024,"1,514.85","1,499.20","1,523.60","1,497.65",16.88M,0.43%
29-05-2024,"1,508.30","1,518.00","1,523.85","1,501.25",17.57M,-1.45%
28-05-2024,"1,530.50","1,530.10","1,536.05","1,524.80",13.95M,0.18%
27-05-2024,"1,527.70","1,523.35","1,545.00","1,519.05",14.69M,0.69%
24-05-2024,"1,517.20","1,487.50","1,519.90","1,486.00",15.53M,1.65%
23-05-2024,"1,492.60","1,458.65","1,495.65","1,457.05",20.43M,2.29%
22-05-2024,"1,459.20","1,457.85","1,465.60","1,448.15",20.00M,0.03%
21-05-2024,"1,458.80","1,450.10","1,469.70","1,450.10",21.88M,-0.49%
18-05-2024,"1,466.05","1,466.00","1,467.10","1,463.05",528.56K,0.13%
17-05-2024,"1,464.10","1,446.20","1,468.00","1,446.20",10.46M,0.26%
16-05-2024,"1,460.25","1,446.05","1,462.55","1,435.50",17.47M,1.51%
15-05-2024,"1,438.50","1,459.70","1,459.70","1,435.80",19.47M,-1.54%
14-05-2024,"1,460.95","1,452.25","1,465.50","1,450.30",12.83M,0.39%
13-05-2024,"1,455.25","1,432.00","1,459.80","1,430.30",13.52M,1.21%
10-05-2024,"1,437.90","1,439.00","1,451.95","1,426.80",13.64M,-0.66%
09-05-2024,"1,447.50","1,474.95","1,486.75","1,445.30",23.14M,-2.37%
08-05-2024,"1,482.65","1,495.95","1,496.95","1,480.35",20.84M,-1.56%
07-05-2024,"1,506.15","1,521.95","1,524.05","1,504.15",14.24M,-1.08%
06-05-2024,"1,522.65","1,522.00","1,534.50","1,517.15",14.40M,0.20%
03-05-2024,"1,519.60","1,533.25","1,540.60","1,507.20",15.93M,-0.83%
02-05-2024,"1,532.25","1,522.00","1,537.00","1,520.35",16.74M,0.80%
30-04-2024,"1,520.10","1,529.20","1,539.50","1,514.90",26.15M,-0.61%
29-04-2024,"1,529.50","1,515.00","1,534.45","1,506.55",18.05M,1.30%
26-04-2024,"1,509.80","1,519.80","1,528.00","1,505.55",12.43M,-0.06%
25-04-2024,"1,510.75","1,506.25","1,519.70","1,506.25",17.72M,-0.06%
24-04-2024,"1,511.70","1,515.00","1,521.75","1,509.05",11.22M,0.27%
23-04-2024,"1,507.60","1,526.30","1,526.50","1,503.25",13.41M,-0.30%
22-04-2024,"1,512.20","1,557.40","1,557.40","1,508.30",21.15M,-1.25%
19-04-2024,"1,531.30","1,486.55","1,534.95","1,480.25",17.29M,2.45%
18-04-2024,"1,494.70","1,509.80","1,518.85","1,491.05",17.12M,-0.96%
16-04-2024,"1,509.25","1,487.00","1,512.90","1,482.25",10.37M,0.97%
15-04-2024,"1,494.70","1,497.55","1,510.00","1,492.05",11.71M,-1.60%
12-04-2024,"1,518.95","1,521.00","1,529.85","1,513.45",20.54M,-1.13%
10-04-2024,"1,536.35","1,549.90","1,549.90","1,532.95",13.90M,-0.79%
09-04-2024,"1,548.55","1,554.85","1,554.85","1,540.30",10.94M,0.13%
08-04-2024,"1,546.60","1,554.95","1,557.25","1,541.55",10.24M,-0.19%
05-04-2024,"1,549.55","1,539.00","1,554.50","1,530.15",29.53M,1.44%
04-04-2024,"1,527.60","1,504.00","1,530.00","1,504.00",44.47M,3.06%
03-04-2024,"1,482.30","1,472.10","1,495.65","1,471.40",22.79M,0.15%
02-04-2024,"1,480.15","1,465.15","1,494.85","1,463.25",20.61M,0.66%
01-04-2024,"1,470.50","1,458.00","1,473.80","1,455.60",12.60M,1.56%
28-03-2024,"1,447.90","1,440.70","1,460.50","1,440.70",27.80M,0.50%
27-03-2024,"1,440.70","1,423.55","1,447.95","1,421.25",31.08M,1.07%
26-03-2024,"1,425.40","1,427.20","1,437.95","1,422.15",28.42M,-1.21%
22-03-2024,"1,442.85","1,441.00","1,450.75","1,437.75",22.99M,-0.20%
21-03-2024,"1,445.75","1,442.60","1,451.25","1,438.30",14.46M,1.03%
20-03-2024,"1,431.05","1,449.05","1,451.65","1,424.65",21.80M,-1.26%
19-03-2024,"1,449.35","1,435.50","1,452.40","1,435.50",18.09M,0.23%
18-03-2024,"1,446.05","1,447.00","1,456.00","1,435.80",10.72M,-0.45%
15-03-2024,"1,452.65","1,450.00","1,459.30","1,442.25",71.81M,-0.19%
14-03-2024,"1,455.45","1,462.10","1,466.00","1,444.30",26.22M,-0.34%
13-03-2024,"1,460.40","1,465.50","1,471.60","1,450.10",31.53M,0.06%
12-03-2024,"1,459.55","1,434.00","1,464.00","1,429.25",32.71M,2.22%
11-03-2024,"1,427.80","1,430.00","1,445.95","1,423.00",25.27M,-1.27%
