Trend,Start Date,End Date,Profit
UP,2013-05-02,2013-05-03,-160.13000000000102
DOWN,2013-05-03,2013-05-08,-414.5400000000009
UP,2013-05-08,2013-05-09,-51.13999999999942
DOWN,2013-05-09,2013-05-11,-183.27999999999884
UP,2013-05-11,2013-05-13,-430.65000000000146
DOWN,2013-05-13,2013-05-17,-594.4500000000007
UP,2013-05-17,2013-05-23,-611.7899999999972
DOWN,2013-05-23,2013-05-28,-486.48999999999796
UP,2013-05-28,2013-05-29,-13.180000000000291
DOWN,2013-05-29,2013-05-30,-67.76000000000204
UP,2013-05-30,2013-06-04,-669.6200000000026
DOWN,2013-06-04,2013-06-05,-22.44000000000233
UP,2013-06-05,2013-06-07,-138.9900000000016
DOWN,2013-06-07,2013-06-10,-11.840000000000146
UP,2013-06-10,2013-06-13,-613.9099999999999
DOWN,2013-06-13,2013-06-17,-498.7099999999991
UP,2013-06-17,2013-06-18,-102.59000000000015
DOWN,2013-06-18,2013-06-19,-22.42000000000189
UP,2013-06-19,2013-06-20,-526.4099999999999
DOWN,2013-06-20,2013-06-21,-54.95000000000073
UP,2013-06-21,2013-06-24,-233.35000000000218
DOWN,2013-06-24,2013-06-25,-88.26000000000204
UP,2013-06-25,2013-06-26,-77.03000000000247
DOWN,2013-06-26,2013-07-01,-1025.2700000000004
UP,2013-07-01,2013-07-03,-399.630000000001
DOWN,2013-07-03,2013-07-05,-318.0600000000013
UP,2013-07-05,2013-07-08,-171.04999999999927
DOWN,2013-07-08,2013-07-09,-114.70999999999913
UP,2013-07-09,2013-07-10,-145.36000000000058
DOWN,2013-07-10,2013-07-15,-740.3600000000006
UP,2013-07-15,2013-07-16,-183.25
DOWN,2013-07-16,2013-07-23,-450.90000000000146
UP,2013-07-23,2013-08-02,-1138.1100000000006
DOWN,2013-08-02,2013-08-05,-18.239999999997963
UP,2013-08-05,2013-08-07,-517.3799999999974
DOWN,2013-08-07,2013-08-14,-702.7099999999991
UP,2013-08-14,2013-08-21,-1461.6800000000003
DOWN,2013-08-21,2013-08-26,-652.2200000000012
UP,2013-08-26,2013-08-27,-590.0499999999993
DOWN,2013-08-27,2013-09-02,-918.0499999999993
UP,2013-09-02,2013-09-03,-651.4700000000012
DOWN,2013-09-03,2013-09-06,-54408.76999999999
UP,2013-09-06,2013-09-10,-52646.34
DOWN,2013-09-10,2013-09-11,-0.3600000000005821
UP,2013-09-11,2013-09-13,-264.6900000000023
DOWN,2013-09-13,2013-09-19,-913.880000000001
UP,2013-09-19,2013-09-23,-745.6800000000003
DOWN,2013-09-23,2013-09-24,-19.25
UP,2013-09-24,2013-09-25,-63.969999999997526
DOWN,2013-09-25,2013-09-26,-37.609999999996944
UP,2013-09-26,2013-09-30,-514.0799999999981
DOWN,2013-09-30,2013-10-04,-536.1800000000003
UP,2013-10-04,2013-10-07,-20.850000000002183
DOWN,2013-10-07,2013-10-14,-712.4400000000023
UP,2013-10-14,2013-10-17,-192.03000000000247
DOWN,2013-10-17,2013-10-21,-478.380000000001
UP,2013-10-21,2013-10-28,-323.6100000000006
DOWN,2013-10-28,2013-11-03,-669.0800000000017
UP,2013-11-03,2013-11-13,-1044.9599999999991
DOWN,2013-11-13,2013-11-19,-696.4199999999983
UP,2013-11-19,2013-11-22,-673.4300000000003
DOWN,2013-11-22,2013-11-25,-387.6900000000023
UP,2013-11-25,2013-11-27,-184.82000000000335
DOWN,2013-11-27,2013-12-02,-477.75
UP,2013-12-02,2013-12-04,-189.29999999999927
DOWN,2013-12-04,2013-12-09,-617.7099999999991
UP,2013-12-09,2013-12-17,-714.2799999999988
DOWN,2013-12-17,2013-12-18,-247.72000000000116
UP,2013-12-18,2013-12-19,-151.2400000000016
DOWN,2013-12-19,2013-12-23,-392.40999999999985
UP,2013-12-23,2013-12-24,-68.31999999999971
DOWN,2013-12-24,2013-12-27,-160.87000000000262
UP,2013-12-27,2013-12-30,-50.57000000000335
DOWN,2013-12-30,2013-12-31,-27.67000000000189
