Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2024-11-01,1737.3,1733.0,1744.1,1726.1,879850.0,0.09%,62.04701273261509,0
2024-11-04,1714.1,1745.0,1745.0,1710.9,14040000.0,-1.34%,56.714413607878235,1
2024-11-05,1757.85,1703.0,1762.7,1697.9,22120000.0,2.55%,61.54305030821236,0
2024-11-06,1755.25,1771.5,1771.5,1745.35,13890000.0,-0.15%,68.05189094107297,0
2024-11-07,1746.55,1744.3,1760.95,1738.0,9450000.0,-0.50%,64.22603342128406,1
2024-11-08,1754.45,1752.0,1761.8,1745.85,9950000.0,0.45%,56.83205094189439,1
2024-11-11,1766.3,1754.55,1782.8,1751.2,12280000.0,0.68%,63.900080580177274,0
2024-11-12,1718.2,1772.0,1775.0,1708.65,15700000.0,-2.72%,45.868544600938996,0
2024-11-13,1681.35,1716.75,1729.4,1673.0,17860000.0,-2.14%,35.529661016949106,1
2024-11-14,1692.75,1673.1,1704.85,1672.1,13570000.0,0.68%,39.49823761144514,1
2024-11-18,1705.1,1700.0,1718.9,1695.0,13540000.0,0.73%,44.04420794105605,1
2024-11-19,1742.25,1714.0,1753.75,1702.7,25490000.0,2.18%,48.18043972706597,0
2024-11-21,1741.2,1749.4,1759.0,1734.2,17860000.0,-0.06%,51.3327948303716,1
2024-11-22,1745.6,1743.55,1754.3,1729.55,12390000.0,0.25%,51.972897568752465,1
2024-11-25,1785.6,1785.05,1803.55,1764.9,213870000.0,2.29%,58.34773591427583,0
2024-11-26,1785.55,1810.0,1810.0,1769.8,15470000.0,0.00%,63.42288183355252,1
2024-11-27,1812.3,1789.9,1817.35,1785.15,16360000.0,1.50%,60.92715231788081,0
2024-11-28,1793.15,1819.0,1836.1,1788.0,17860000.0,-1.06%,57.13210387655253,1
2024-11-29,1796.05,1801.3,1804.6,1782.9,13830000.0,0.16%,59.522893420546374,1
2024-12-02,1804.7,1803.5,1808.15,1775.0,7560000.0,0.48%,59.63936313063496,1
2024-12-03,1826.3,1822.7,1837.4,1816.1,21710000.0,1.20%,61.094674556213036,1
2024-12-04,1860.1,1838.0,1865.0,1831.15,22330000.0,1.85%,77.70402186645842,1
2024-12-05,1865.75,1860.0,1879.95,1835.2,19840000.0,0.30%,90.99599822143183,0
2024-12-06,1855.85,1857.0,1864.2,1844.0,8890000.0,-0.53%,86.50402864816476,1
2024-12-09,1870.0,1853.65,1880.0,1849.0,13470000.0,0.76%,86.61190053285974,0
2024-12-10,1868.1,1877.7,1877.7,1858.55,6660000.0,-0.10%,83.12713872071599,0
2024-12-11,1863.1,1861.7,1871.9,1856.75,7020000.0,-0.27%,81.43372872614748,0
2024-12-12,1859.25,1851.0,1868.65,1848.7,8650000.0,-0.21%,79.38970778381177,1
2024-12-13,1871.75,1862.5,1875.0,1829.25,9500000.0,0.67%,75.97226409406093,0
2024-12-16,1865.2,1865.1,1869.95,1855.25,6550000.0,-0.35%,73.10704960835513,0
2024-12-17,1833.25,1856.35,1862.35,1826.5,10540000.0,-1.71%,55.89974655026754,0
