Date,Price,Open,High,Low,Vol.,Change(%)
08-Aug-24,536.55,539.75,540,532,935337,-0.71%
07-Aug-24,540.4,549,549.95,529.05,1603455,-0.04%
06-Aug-24,540.6,550,556.95,533.1,1838943,-0.73%
05-Aug-24,544.6,535,552.15,515.95,4660448,-2.71%
02-Aug-24,559.75,569,582.65,551,2733406,-0.88%
01-Aug-24,564.7,584.7,593,560,2000667,-2.54%
31-Jul-24,579.4,573.5,582.95,565.3,1474850,1.15%
30-Jul-24,572.8,572.95,580,563,1643832,0.03%
29-Jul-24,572.65,571.95,582,555.35,2281355,0.85%
26-Jul-24,567.8,578.9,578.9,565.1,1232940,-1.03%
25-Jul-24,573.7,590,612.5,563,5340282,-2.31%
24-Jul-24,587.25,555.5,633.6,555.45,11701050,6.24%
23-Jul-24,552.75,529,561.65,497.55,7427646,4.43%
22-Jul-24,529.3,531.4,540.95,525.1,1672590,0.07%
19-Jul-24,528.95,515,536,514.5,2017760,1.83%
18-Jul-24,519.45,527.4,527.4,512.5,1077417,-1.54%
16-Jul-24,527.55,517.4,533,515.1,2814459,2.77%
15-Jul-24,513.35,506.6,524.75,499,2154561,1.60%
12-Jul-24,505.25,503.2,509,498.1,1073604,0.40%
11-Jul-24,503.25,509.25,512.45,500.25,1094045,-0.13%
10-Jul-24,503.9,500,518,497,3284158,1.42%
09-Jul-24,496.85,496.2,498.8,493,1619702,0.13%
08-Jul-24,496.2,497.75,501.9,490,1426120,0.18%
05-Jul-24,495.3,496.55,505,485.1,3717652,0.97%
04-Jul-24,490.55,490.65,495.95,486,820820,0.34%
03-Jul-24,488.9,493.15,497.85,485.45,1082260,-1.42%
02-Jul-24,495.95,500.4,502.5,493.05,1250414,-0.31%
01-Jul-24,497.5,504.25,505.7,483,4170640,-0.73%
28-Jun-24,501.15,481.1,546,481.1,9439333,5.22%
27-Jun-24,476.3,459,480,454.05,4380406,4.30%
26-Jun-24,456.65,438.95,460.5,438.95,3875868,4.22%
25-Jun-24,438.15,447.4,453.25,435,1131725,-1.78%
24-Jun-24,446.1,452.5,452.5,436.3,1996316,-1.52%
21-Jun-24,453,437,464.95,431,16803770,5.06%
20-Jun-24,431.2,426,435,420.55,1872534,1.81%
19-Jun-24,423.55,428.85,447,420,5991651,-0.11%
18-Jun-24,424,400.75,430.25,398.85,4970051,5.87%
14-Jun-24,400.5,398.4,404.9,398.4,1260917,0.53%
13-Jun-24,398.4,406,408.5,398,1364525,-1.43%
12-Jun-24,404.2,410.9,413.55,403.1,1232741,-1.16%
11-Jun-24,408.95,409.5,412.45,405,724141,-0.07%
10-Jun-24,409.25,410,416,406,1808548,0.34%
07-Jun-24,407.85,401,410.25,400,2765843,2.05%
06-Jun-24,399.65,402.95,409.55,398,1618400,-0.72%
05-Jun-24,402.55,386,420,372.35,3824865,6.31%
04-Jun-24,378.65,394,399,336.05,1884318,-3.15%
03-Jun-24,390.95,394,403,388,1233765,0.64%
31-May-24,388.45,384.85,398,377.05,2500856,0.94%
30-May-24,384.85,396,400,384,816008,-2.52%
29-May-24,394.8,402.45,404.4,392,787171,-1.90%
28-May-24,402.45,406.45,409.95,396.1,1093554,-0.98%
27-May-24,406.45,400,409.4,395.2,1433957,1.12%
24-May-24,401.95,404,405.7,400.1,454189,-0.26%
23-May-24,403,400,405,399.1,1097655,0.80%
22-May-24,399.8,401.5,406.25,397.7,777505,-0.42%
21-May-24,401.5,413.2,415.5,399,1419658,-2.83%
18-May-24,413.2,415,416.65,410.15,145654,-0.41%
17-May-24,414.9,412.95,416.5,411.25,899177,0.92%
16-May-24,411.1,412,417,405.1,1006356,0.48%
15-May-24,409.15,401.6,410,399.05,1400855,2.98%
14-May-24,397.3,400,403.5,393.3,1173903,-0.70%
13-May-24,400.1,415,417.45,395.95,1560214,-2.55%
10-May-24,410.55,402.05,420,388.65,1807755,3.37%
09-May-24,397.15,394.3,407.9,391.6,1530390,0.98%
08-May-24,393.3,387.5,399.2,382.4,701015,1.24%
07-May-24,388.5,401,401,378.9,1381721,-2.89%
06-May-24,400.05,408,408,389.1,2556156,-1.49%
03-May-24,406.1,414.8,415.8,403.5,1243796,-1.38%
02-May-24,411.8,414.85,418.4,408.3,982676,-0.56%
30-Apr-24,414.1,414.1,421.35,412.9,2271167,0.60%
29-Apr-24,411.65,422.8,425,409.1,975696,-1.85%
26-Apr-24,419.4,418,421.8,415.5,1347012,0.38%
25-Apr-24,417.8,421.75,422,414.65,983530,-0.95%
24-Apr-24,421.8,417.6,424,413.15,1655182,1.72%
23-Apr-24,414.65,405,418.65,402.7,1815454,3.22%
22-Apr-24,401.7,415,415,400.15,1372201,-1.68%
19-Apr-24,408.55,402.3,411.95,396.8,1984552,1.59%
18-Apr-24,402.15,417.4,422.2,400,1500527,-2.69%
16-Apr-24,413.25,418,427.9,410.6,2521585,-1.33%
15-Apr-24,418.8,419.15,437.8,410.05,2401867,-2.09%
12-Apr-24,427.75,415.85,430.9,414,2128444,2.34%
10-Apr-24,417.95,425,426.35,412.7,1303575,-1.82%
09-Apr-24,425.7,435.65,436,421.2,853868,-1.79%
08-Apr-24,433.45,436.05,439,431,1879085,0.69%
05-Apr-24,430.5,440.05,443,428.05,3841134,-0.10%
04-Apr-24,430.95,434.25,434.75,422.8,1272984,0.49%
03-Apr-24,428.85,428.65,430.9,426.9,1850105,0.06%
02-Apr-24,428.6,429.95,438.7,422.15,2463011,0.63%
01-Apr-24,425.9,437.95,449.7,419.65,3144784,-0.44%
28-Mar-24,427.8,420.75,439,416.3,4223254,3.05%
27-Mar-24,415.15,400.85,418,393.6,4455320,3.57%
26-Mar-24,400.85,390,409.95,384.3,3966704,4.06%
22-Mar-24,385.2,383.75,387.85,378.25,870215,1.84%
21-Mar-24,378.25,375,380,370.95,901194,2.86%
20-Mar-24,367.75,366.8,370.9,357.4,1290666,0.26%
19-Mar-24,366.8,375,375.5,365,689243,-1.69%
18-Mar-24,373.1,371,397,370,1852436,0.82%
15-Mar-24,370.05,384,391.5,364.5,4403727,-4.08%
14-Mar-24,385.8,385,391.65,375.6,1275548,-1.10%
13-Mar-24,390.1,381.5,406,352.15,3899830,2.25%
12-Mar-24,381.5,397.1,401.95,377.05,1360992,-3.73%
11-Mar-24,396.3,409.45,419,393.5,1842870,-3.21%
07-Mar-24,409.45,409.25,412.4,405.05,1056298,0.94%
06-Mar-24,405.65,405,409.9,391.7,1650504,0.60%
05-Mar-24,403.25,410,413,398.3,1993796,-1.39%
04-Mar-24,408.95,414,414.35,402.25,1706642,-0.84%
02-Mar-24,412.4,401.6,419.4,399.65,782453,3.24%
01-Mar-24,399.45,398.6,409.7,385.7,4913833,0.66%
29-Feb-24,396.85,378.55,398.6,370.3,7149833,4.85%
28-Feb-24,378.5,371,390,368.1,2389486,2.16%
27-Feb-24,370.5,376.25,383.1,366.25,918920,-2.33%
26-Feb-24,379.35,384,387.5,377,1061251,-1.38%
23-Feb-24,384.65,384,387.8,380,1181055,0.21%
22-Feb-24,383.85,379.7,385.7,375,1697046,2.02%
21-Feb-24,376.25,364.55,388,364.55,3400773,3.21%
20-Feb-24,364.55,374.8,376,363,1869396,-2.57%
19-Feb-24,374.15,384.45,388.4,372.1,1973586,-2.72%
16-Feb-24,384.6,388.95,390,382.05,1641450,-1.80%
15-Feb-24,391.65,362.5,409.7,362.5,6344879,7.52%
14-Feb-24,364.25,362,368.6,356.7,1901847,-0.61%
